iter	MultiClass
0	1.316814514
1	1.263572656
2	1.216066557
3	1.165206794
4	1.134349526
5	1.102838462
6	1.075553863
7	1.046861535
8	1.019522203
9	0.9952693624
10	0.9702209757
11	0.9491122368
12	0.929049771
13	0.9109564204
14	0.8925254574
15	0.878072796
16	0.8637768174
17	0.8466095236
18	0.8328499939
19	0.8178073146
20	0.8024206313
21	0.790196884
22	0.7798930196
23	0.7687740436
24	0.7581589877
25	0.7494577592
26	0.740885635
27	0.731917968
28	0.7222438301
29	0.7130909076
30	0.7045642456
31	0.6968525816
32	0.6895137578
33	0.6818354288
34	0.6753349044
35	0.6690264352
36	0.6631623389
37	0.6577721923
38	0.6516935568
39	0.6462095549
40	0.6418542935
41	0.6365917936
42	0.6307894508
43	0.626072466
44	0.6217676054
45	0.6175201518
46	0.6135399281
47	0.6094102897
48	0.6051021983
49	0.601036325
50	0.5976129867
51	0.5945425697
52	0.5911519763
53	0.5877891197
54	0.5831274138
55	0.5798395855
56	0.5766301641
57	0.572525168
58	0.5692050855
59	0.5667571991
60	0.5639202609
61	0.5610973825
62	0.5588010486
63	0.5560888323
64	0.5542117305
65	0.5514292783
66	0.5491574676
67	0.5469196496
68	0.5445896128
69	0.5427216024
70	0.5410063567
71	0.5391441436
72	0.5372857584
73	0.5358462086
74	0.5341422952
75	0.532349399
76	0.5308143909
77	0.5293958077
78	0.5277684338
79	0.5263490448
80	0.5249937897
81	0.5233681685
82	0.5220294904
83	0.5205213837
84	0.5192541403
85	0.5180919721
86	0.5168757155
87	0.5152882517
88	0.5142847448
89	0.5131664746
90	0.5120596173
91	0.5112354823
92	0.5102358395
93	0.5091091976
94	0.5082179218
95	0.5073681539
96	0.5062297411
97	0.505483319
98	0.5045941031
99	0.5036979933
100	0.503208578
101	0.5027137652
102	0.5021075159
103	0.500913019
104	0.4999773085
105	0.4993762103
106	0.4990950652
107	0.4986478562
108	0.497950529
109	0.4978316217
110	0.4973238563
111	0.4963739779
112	0.4955855891
113	0.4954746263
114	0.4948610642
115	0.4946367644
116	0.4944122351
117	0.4943111619
118	0.4941750451
119	0.4938122984
