iter	Passed	Remaining
0	392	156636
1	638	127008
2	880	116523
3	1145	113377
4	1449	114514
5	1743	114469
6	2036	114344
7	2300	112724
8	2554	110979
9	2814	109774
10	3074	108725
11	3309	106999
12	3546	105585
13	3789	104472
14	4048	103908
15	4291	103006
16	4512	101674
17	4736	100519
18	4944	99155
19	5165	98149
20	5387	97223
21	5614	96474
22	5846	95831
23	6084	95319
24	6392	95882
25	6641	95532
26	6880	95059
27	7108	94447
28	7348	94007
29	7540	92995
30	7676	91380
31	7799	89696
32	7933	88228
33	8052	86684
34	8186	85377
35	8389	84830
36	8531	83697
37	8676	82658
38	8802	81480
39	8936	80432
40	9066	79388
41	9201	78427
42	9335	77508
43	9463	76572
44	9584	75614
45	9708	74710
46	9832	73847
47	9954	73002
48	10085	72243
49	10209	71468
50	10343	70784
51	10476	70112
52	10605	69434
53	10728	68738
54	10859	68115
55	10996	67549
56	11123	66933
57	11247	66322
58	11368	65704
59	11485	65085
60	11606	64503
61	11731	63956
62	11852	63403
63	11978	62886
64	12106	62393
65	12244	61966
66	12384	61551
67	12516	61111
68	12645	60661
69	12793	60312
70	12932	59928
71	13072	59554
72	13206	59155
73	13330	58726
74	13452	58296
75	13575	57876
76	13697	57458
77	13882	57310
78	14110	57336
79	14335	57340
80	14568	57372
81	14785	57340
82	15036	57426
83	15262	57414
84	15520	57516
85	15750	57506
86	15978	57485
87	16212	57479
88	16430	57413
89	16652	57359
90	16872	57293
91	17090	57215
92	17317	57166
93	17555	57147
94	17807	57171
95	18030	57097
96	18263	57048
97	18502	57018
98	18747	56998
99	19006	57020
100	19226	56918
101	19453	56834
102	19702	56812
103	20020	56981
104	20238	56860
105	20457	56739
106	20676	56619
107	20892	56487
108	21116	56375
109	21333	56242
110	21553	56117
111	21807	56077
112	22053	56011
113	22315	55984
114	22540	55862
115	22798	55816
116	23047	55746
117	23282	55641
118	23506	55507
119	23732	55375
120	23962	55252
121	24193	55129
122	24457	55079
123	24694	54965
124	24931	54848
125	25163	54721
126	25389	54578
127	25651	54508
128	25891	54392
129	26128	54267
130	26359	54127
131	26619	54045
132	26870	53942
133	27094	53784
134	27322	53633
135	27554	53488
136	27786	53342
137	28008	53176
138	28239	53025
139	28452	52840
140	28671	52665
141	28930	52564
142	29180	52444
143	29407	52279
144	29637	52121
145	29869	51963
146	30103	51811
147	30333	51648
148	30579	51513
149	30831	51385
150	31074	51241
151	31351	51152
152	31617	51042
153	31885	50933
154	32154	50824
155	32399	50676
156	32629	50502
157	32842	50302
158	33061	50112
159	33364	50046
160	33653	49957
161	33906	49812
162	34150	49654
163	34383	49478
164	34606	49287
165	34821	49085
166	35121	49002
167	35349	48815
168	35577	48630
169	35838	48487
170	36065	48298
171	36287	48101
172	36511	47907
173	36729	47705
174	36949	47506
175	37167	47304
176	37383	47098
177	37606	46902
178	37830	46707
179	38071	46531
180	38286	46323
181	38511	46128
182	38729	45924
183	39056	45848
184	39274	45643
185	39489	45433
186	39701	45221
187	39919	45015
188	40158	44832
189	40400	44653
190	40620	44448
191	40830	44233
192	41062	44040
193	41323	43879
194	41548	43679
195	41767	43472
196	41983	43262
197	42203	43056
198	42462	42889
199	42701	42701
200	42924	42497
201	43149	42294
202	43376	42094
203	43644	41932
204	43871	41731
205	44102	41533
206	44332	41333
207	44604	41173
208	44774	40918
209	44911	40633
210	45047	40351
211	45183	40068
212	45306	39776
213	45425	39482
214	45549	39193
215	45680	38912
216	45801	38625
217	45924	38340
218	46047	38057
219	46183	37786
220	46315	37513
221	46450	37244
222	46574	36967
223	46712	36702
224	46840	36431
225	46973	36165
226	47095	35892
227	47220	35622
228	47344	35353
229	47467	35084
230	47592	34819
231	47713	34550
232	47834	34284
233	47956	34020
234	48078	33757
235	48199	33494
236	48323	33235
237	48443	32974
238	48563	32714
239	48688	32458
240	48808	32201
241	48927	31944
242	49047	31689
243	49172	31438
244	49299	31189
245	49419	30937
246	49538	30685
247	49658	30436
248	49781	30188
249	49899	29939
250	50023	29695
251	50142	29448
252	50264	29204
253	50382	28960
254	50504	28718
255	50620	28473
256	50742	28234
257	50864	27995
258	50991	27759
259	51110	27520
260	51230	27283
261	51353	27048
262	51491	26822
263	51610	26587
264	51739	26357
265	51863	26126
266	51984	25895
267	52105	25663
268	52226	25433
269	52353	25207
270	52486	24984
271	52615	24760
272	52745	24537
273	52879	24316
274	53011	24096
275	53145	23876
276	53272	23655
277	53398	23433
278	53521	23212
279	53653	22994
280	53793	22780
281	53924	22564
282	54058	22349
283	54186	22132
